"station_id","lng","lat","district","count"
"C0117",121.4372,31.2013,"徐汇区",4000
"C0118",121.4342,31.1943,"徐汇区",5898
"C0119",121.4282,31.1903,"徐汇区",1064
"C0120",121.4412,31.1903,"徐汇区",2533
"C0121",121.4452,31.1953,"徐汇区",2945
"C0122",121.4272,31.1773,"徐汇区",0
"C0123",121.4132,31.1783,"徐汇区",1801
"C0124",121.4172,31.1713,"徐汇区",2704
"C0125",121.4322,31.1693,"徐汇区",3208
"C0126",121.4402,31.1743,"徐汇区",0
"C0127",121.4352,31.1543,"徐汇区",2725
"C0128",121.4492,31.1573,"徐汇区",3789
"C0129",121.4532,31.2033,"徐汇区",4128
"C0130",121.4632,31.2093,"黄浦区",0
"C0131",121.4682,31.2173,"黄浦区",0
"C0132",121.4742,31.2113,"黄浦区",1933
"C0133",121.4572,31.1923,"徐汇区",3919
"C0134",121.6926,31.2888,"浦东新区",0
"C0135",121.4812,31.2063,"黄浦区",3860
"C0136",121.4892,31.2113,"黄浦区",1921
"C0137",121.4952,31.2193,"黄浦区",1175
"C0138",121.4832,31.2223,"黄浦区",2034
"C0139",121.5696,31.6578,"崇明区",308
"C0140",121.4932,31.1833,"浦东新区",0
"C0141",121.5062,31.2043,"浦东新区",0
"C0142",121.3732,31.1613,"闵行区",1895
"C0143",121.3462,31.17,"闵行区",2021
"C0144",121.3432,31.16,"闵行区",4176
"C0145",121.3412,31.146,"闵行区",3419
"C0146",121.3782,31.1473,"闵行区",6404
"C0147",121.3812,31.1813,"闵行区",1394
"C0148",121.3972,31.1783,"徐汇区",2266
"C0149",121.3982,31.1613,"闵行区",2966
"C0150",121.4192,31.1633,"徐汇区",0
"C0151",121.3912,31.1443,"闵行区",2685
"C0152",121.4112,31.1463,"徐汇区",8827
"C0153",121.3902,31.1293,"闵行区",2075
"C0154",121.4212,31.1293,"闵行区",3361
"C0155",121.4252,31.1413,"徐汇区",2018
"C0156",121.4332,31.1413,"徐汇区",1558
"C0157",121.7236,31.4958,"崇明区",568
"C0158",121.5396,31.3678,"浦东新区",250
"C0159",121.3762,31.1103,"闵行区",3040
"C0160",121.5676,31.2648,"浦东新区",3745
"C0161",121.5836,31.2568,"浦东新区",4272
"C0162",121.5746,31.2558,"浦东新区",1383
"C0163",121.5556,31.2478,"浦东新区",2933
"C0164",121.5756,31.2408,"浦东新区",1746
"C0165",121.5586,31.2388,"浦东新区",2027
"C0166",121.5386,31.2418,"浦东新区",2107
"C0167",121.5336,31.2348,"浦东新区",50
"C0168",121.5516,31.2268,"浦东新区",999
"C0169",121.5676,31.2288,"浦东新区",2596
"C0170",121.5986,31.2398,"浦东新区",1611
"C0171",121.6236,31.2518,"浦东新区",1423
"C0172",121.5256,31.2058,"浦东新区",4835
"C0173",121.5426,31.2118,"浦东新区",0
"C0174",121.5916,31.2138,"浦东新区",2782
"C0175",121.5156,31.1968,"浦东新区",0
"C0176",121.5436,31.2038,"浦东新区",0
"C0177",121.5536,31.2058,"浦东新区",5723
