station_id,lng,lat,district
C0166,121.5386,31.2418,浦东新区
C0167,121.5336,31.2348,浦东新区
C0168,121.5516,31.2268,浦东新区
C0169,121.5676,31.2288,浦东新区
C0170,121.5986,31.2398,浦东新区
C0171,121.6236,31.2518,浦东新区
C0172,121.5256,31.2058,浦东新区
C0173,121.5426,31.2118,浦东新区
C0174,121.5916,31.2138,浦东新区
C0175,121.5156,31.1968,浦东新区
C0176,121.5436,31.2038,浦东新区
C0177,121.5536,31.2058,浦东新区
C0178,121.5156,31.1828,浦东新区
C0179,121.5266,31.1858,浦东新区
C0180,121.5566,31.1868,浦东新区
C0181,121.3362,31.733,崇明区
C0182,121.6066,31.2068,浦东新区
C0183,121.5246,31.2438,浦东新区
C0184,121.5736,31.3508,浦东新区
C0185,121.5756,31.3178,浦东新区
C0186,121.3072,31.788,崇明区
C0187,121.2922,31.752,崇明区
C0188,121.3232,31.711,崇明区
C0189,121.4422,31.7193,崇明区
C0190,121.4642,31.6713,崇明区
C0191,121.5376,31.6818,崇明区
C0192,121.5072,31.5953,崇明区
C0193,121.6186,31.6198,崇明区
C0194,121.6156,31.5398,崇明区
C0195,121.7026,31.5838,崇明区
C0196,121.7636,31.5208,崇明区
C0197,121.8756,31.5258,崇明区
C0198,121.3942,31.6273,崇明区
C0199,121.4092,31.6273,崇明区
C0200,121.6856,31.3878,崇明区
C0201,121.8246,31.3598,崇明区
C0202,121.3402,31.486,宝山区
C0203,121.3362,31.41,宝山区
C0204,121.3892,31.4553,宝山区
C0205,121.4312,31.4193,宝山区
C0206,121.3452,31.384,宝山区
C0207,121.4042,31.3533,宝山区
C0208,121.4342,31.3763,宝山区
C0209,121.4852,31.4003,宝山区
C0210,121.4922,31.3763,宝山区
C0211,121.2782,31.446,嘉定区
C0212,121.2152,31.442,嘉定区
C0213,121.1892,31.417,嘉定区
C0214,121.1462,31.393,嘉定区
C0215,121.1802,31.347,嘉定区
C0216,121.2042,31.319,嘉定区
C0217,121.1682,31.298,嘉定区
C0218,121.2102,31.272,嘉定区
C0219,121.3922,31.6633,崇明区
C0220,121.3512,31.291,普陀区
C0221,121.3012,31.294,嘉定区
C0222,121.2792,31.335,嘉定区
C0223,121.2422,31.377,嘉定区
C0224,121.2432,31.387,嘉定区
C0225,121.2652,31.246,闵行区
C0226,121.3142,31.229,闵行区
C0227,121.2932,31.219,闵行区
C0228,121.1482,31.246,青浦区
C0229,121.0742,31.206,青浦区
C0230,121.1322,31.19,青浦区
C0231,121.2232,31.206,青浦区
C0232,121.2562,31.157,青浦区
C0233,121.2092,31.153,青浦区
C0234,121.1162,31.156,青浦区
C0235,121.1072,31.149,青浦区
C0236,121.0512,31.106,青浦区
C0237,120.9772,31.086,青浦区
C0238,120.9152,31.121,青浦区
C0239,121.0422,31.015,青浦区
C0240,121.0642,30.939,松江区
C0241,121.1552,31.087,松江区
C0242,121.1442,31.007,松江区
C0243,121.1972,30.979,松江区
C0244,121.5496,31.4898,崇明区
C0245,121.2622,31.115,松江区
C0246,121.3012,31.127,松江区
C0247,121.2582,31.082,松江区
C0248,121.3032,31.066,松江区
C0249,121.3082,31.021,松江区
C0251,121.3232,30.952,松江区
